74
0xe320	0x9075
0xe3dc	0x9175
0xe3dd	0x9176
0xe3de	0x9177
0xe3df	0x9178
0xe3e0	0x9179
0xe3e1	0x917a
0xe3e2	0x9180
0xe3e3	0x9181
0xe3e4	0x9182
0xe3e5	0x9183
0xe3e6	0x9184
0xe3e7	0x9185
0xe3e8	0x9186
0xe3e9	0x9187
0xe3ea	0x9188
0xe3eb	0x9189
0xe3ec	0x918a
0xe3ed	0x918b
0xe3ee	0x918c
0xe3ef	0x918d
0xe3f0	0x918e
0xe3f1	0x918f
0xe3f2	0x9190
0xe3f3	0x9191
0xe3f4	0x9192
0xe3f5	0x9193
0xe3f6	0x9194
0xe3f7	0x9195
0xe3f8	0x9196
0xe3f9	0x9197
0xe3fa	0x9198
0xe3fb	0x9199
0xe3fc	0x919a
0xe3fd	0x919b
0xe3fe	0x919c
0xe3ff	0x919d
0xe400	0x919e
0xe401	0x919f
0xf8ba	0x00b0
0xf8bb	0x00b1
0xf8bc	0x00b2
0xf8bd	0x00b3
0xf8be	0x00b4
0xf8bf	0x00b5
0xf8c0	0x00b6
0xf8c1	0x00b7
0xf8c2	0x00b8
0xf8c3	0x00b9
0xf8c4	0x00ba
0xf8c5	0x00bb
0xf8c6	0x00bc
0xf8c7	0x00bd
0xf8c8	0x00be
0xf8c9	0x00bf
0xf8ca	0x00c0
0xf8cb	0x00c1
0xf8cc	0x00c2
0xf8cd	0x00c3
0xf8ce	0x00c4
0xf8cf	0x00c5
0xf8d0	0x00c6
0xf8d1	0x00c7
0xf8d2	0x00c8
0xf8d3	0x00c9
0xf8d4	0x00ca
0xf8d5	0x00cb
0xf8d6	0x00cc
0xf8d7	0x00cd
0xf8d8	0x00ce
0xf8d9	0x00cf
0xf8da	0x00d0
0xf8db	0x00d1
0xf8dc	0x00d2
0xf8dd	0x00d3
0xf8de	0x00d4
0xf8df	0x00d5
0xf8e0	0x00d6
0xf8e1	0x00d7
0xf8e2	0x00d8
0xf8e3	0x00d9
0xf8e4	0x00da
0xf8e5	0x00db
0xf8e6	0x00dc
0xf8e7	0x00ff
0xfe30	0x8141	;Presentation Form For Vertical Two Dot Leader
0xfe31	0x814c	;Presentation Form For Vertical Em Dash
0xfe32	0x814e	;Presentation Form For Vertical En Dash
0xfe33	0x8150	;Presentation Form For Vertical Low Line
0xfe34	0x8152	;Presentation Form For Vertical Wavy Low Line
0xfe35	0x8156	;Presentation Form For Vertical Left Parenthesis
0xfe36	0x8157	;Presentation Form For Vertical Right Parenthesis
0xfe37	0x815a	;Presentation Form For Vertical Left Curly Bracket
0xfe38	0x8161	;Presentation Form For Vertical Right Curly Bracket
0xfe39	0x8164	;Presentation Form For Vertical Left Tortoise Shell Bracket
0xfe3a	0x8165	;Presentation Form For Vertical Right Tortoise Shell Bracket
0xfe3b	0x8168	;Presentation Form For Vertical Left Black Lenticular Bracket
0xfe3c	0x8169	;Presentation Form For Vertical Right Black Lenticular Bracket
0xfe3d	0x816c	;Presentation Form For Vertical Left Double Angle Bracket
0xfe3e	0x816d	;Presentation Form For Vertical Right Double Angle Bracket
0xfe3f	0x8170	;Presentation Form For Vertical Left Angle Bracket
0xfe40	0x8171	;Presentation Form For Vertical Right Angle Bracket
0xfe41	0x8174	;Presentation Form For Vertical Left Corner Bracket
0xfe42	0x8175	;Presentation Form For Vertical Right Corner Bracket
0xfe43	0x8178	;Presentation Form For Vertical Left White Corner Bracket
0xfe44	0x8179	;Presentation Form For Vertical Right White Corner Bracket
0xfe49	0x81a6	;Dashed Overline
0xfe4a	0x81a7	;Centreline Overline
0xfe4b	0x81aa	;Wavy Overline
0xfe4c	0x81ab	;Double Wavy Overline
0xfe4d	0x81a8	;Dashed Low Line
0xfe4e	0x81a9	;Centreline Low Line
0xfe4f	0x8153	;Wavy Low Line
0xfe50	0x8144	;Small Comma
0xfe51	0x8145	;Small Ideographic Comma
0xfe52	0x8147	;Small Full Stop
0xfe54	0x8148	;Small Semicolon
0xfe55	0x8149	;Small Colon
0xfe56	0x814a	;Small Question Mark
0xfe57	0x814b	;Small Exclamation Mark
0xfe59	0x817a	;Small Left Parenthesis
0xfe5a	0x8180	;Small Right Parenthesis
0xfe5b	0x8181	;Small Left Curly Bracket
0xfe5c	0x8182	;Small Right Curly Bracket
0xfe5d	0x8183	;Small Left Tortoise Shell Bracket
0xfe5e	0x8184	;Small Right Tortoise Shell Bracket
0xfe5f	0x81ac	;Small Number Sign
0xfe60	0x81ad	;Small Ampersand
0xfe61	0x81ae	;Small Asterisk
0xfe62	0x81be	;Small Plus Sign
0xfe63	0x81bf	;Small Hyphen-minus
0xfe64	0x81c0	;Small Less-than Sign
0xfe65	0x81c1	;Small Greater-than Sign
0xfe66	0x81c2	;Small Equals Sign
0xfe68	0x81e1	;Small Reverse Solidus
0xfe69	0x81eb	;Small Dollar Sign
0xfe6a	0x81ec	;Small Percent Sign
0xfe6b	0x81ed	;Small Commercial At
0xff01	0x8139	;Fullwidth Exclamation Mark
0xff03	0x818d	;Fullwidth Number Sign
0xff04	0x81e2	;Fullwidth Dollar Sign
0xff05	0x81e7	;Fullwidth Percent Sign
0xff06	0x818e	;Fullwidth Ampersand
0xff08	0x8154	;Fullwidth Left Parenthesis
0xff09	0x8155	;Fullwidth Right Parenthesis
0xff0a	0x818f	;Fullwidth Asterisk
0xff0b	0x81af	;Fullwidth Plus Sign
0xff0c	0x8131	;Fullwidth Comma
0xff0d	0x81b0	;Fullwidth Hyphen-minus
0xff0f	0x81de	;Fullwidth Solidus
0xff10	0x82a0	;Fullwidth Digit Zero
0xff11	0x82a1	;Fullwidth Digit One
0xff12	0x82a2	;Fullwidth Digit Two
0xff13	0x82a3	;Fullwidth Digit Three
0xff14	0x82a4	;Fullwidth Digit Four
0xff15	0x82a5	;Fullwidth Digit Five
0xff16	0x82a6	;Fullwidth Digit Six
0xff17	0x82a7	;Fullwidth Digit Seven
0xff18	0x82a8	;Fullwidth Digit Eight
0xff19	0x82a9	;Fullwidth Digit Nine
0xff1a	0x8137	;Fullwidth Colon
0xff1b	0x8136	;Fullwidth Semicolon
0xff1c	0x81b5	;Fullwidth Less-than Sign
0xff1d	0x81b7	;Fullwidth Equals Sign
0xff1e	0x81b6	;Fullwidth Greater-than Sign
0xff1f	0x8138	;Fullwidth Question Mark
0xff20	0x81e8	;Fullwidth Commercial At
0xff21	0x82c0	;Fullwidth Latin Capital Letter A
0xff22	0x82c1	;Fullwidth Latin Capital Letter B
0xff23	0x82c2	;Fullwidth Latin Capital Letter C
0xff24	0x82c3	;Fullwidth Latin Capital Letter D
0xff25	0x82c4	;Fullwidth Latin Capital Letter E
0xff26	0x82c5	;Fullwidth Latin Capital Letter F
0xff27	0x82c6	;Fullwidth Latin Capital Letter G
0xff28	0x82c7	;Fullwidth Latin Capital Letter H
0xff29	0x82c8	;Fullwidth Latin Capital Letter I
0xff2a	0x82c9	;Fullwidth Latin Capital Letter J
0xff2b	0x82ca	;Fullwidth Latin Capital Letter K
0xff2c	0x82cb	;Fullwidth Latin Capital Letter L
0xff2d	0x82cc	;Fullwidth Latin Capital Letter M
0xff2e	0x82cd	;Fullwidth Latin Capital Letter N
0xff2f	0x82ce	;Fullwidth Latin Capital Letter O
0xff30	0x82cf	;Fullwidth Latin Capital Letter P
0xff31	0x82d0	;Fullwidth Latin Capital Letter Q
0xff32	0x82d1	;Fullwidth Latin Capital Letter R
0xff33	0x82d2	;Fullwidth Latin Capital Letter S
0xff34	0x82d3	;Fullwidth Latin Capital Letter T
0xff35	0x82d4	;Fullwidth Latin Capital Letter U
0xff36	0x82d5	;Fullwidth Latin Capital Letter V
0xff37	0x82d6	;Fullwidth Latin Capital Letter W
0xff38	0x82d7	;Fullwidth Latin Capital Letter X
0xff39	0x82d8	;Fullwidth Latin Capital Letter Y
0xff3a	0x82d9	;Fullwidth Latin Capital Letter Z
0xff3b	0x8277	;Fullwidth Left Square Bracket
0xff3c	0x81df	;Fullwidth Reverse Solidus
0xff3d	0x8278	;Fullwidth Right Square Bracket
0xff3f	0x8151	;Fullwidth Low Line
0xff41	0x82da	;Fullwidth Latin Small Letter A
0xff42	0x82db	;Fullwidth Latin Small Letter B
0xff43	0x82dc	;Fullwidth Latin Small Letter C
0xff44	0x82dd	;Fullwidth Latin Small Letter D
0xff45	0x82de	;Fullwidth Latin Small Letter E
0xff46	0x82df	;Fullwidth Latin Small Letter F
0xff47	0x82e0	;Fullwidth Latin Small Letter G
0xff48	0x82e1	;Fullwidth Latin Small Letter H
0xff49	0x82e2	;Fullwidth Latin Small Letter I
0xff4a	0x82e3	;Fullwidth Latin Small Letter J
0xff4b	0x82e4	;Fullwidth Latin Small Letter K
0xff4c	0x82e5	;Fullwidth Latin Small Letter L
0xff4d	0x82e6	;Fullwidth Latin Small Letter M
0xff4e	0x82e7	;Fullwidth Latin Small Letter N
0xff4f	0x82e8	;Fullwidth Latin Small Letter O
0xff50	0x82e9	;Fullwidth Latin Small Letter P
0xff51	0x82ea	;Fullwidth Latin Small Letter Q
0xff52	0x82eb	;Fullwidth Latin Small Letter R
0xff53	0x82ec	;Fullwidth Latin Small Letter S
0xff54	0x82ed	;Fullwidth Latin Small Letter T
0xff55	0x82ee	;Fullwidth Latin Small Letter U
0xff56	0x82ef	;Fullwidth Latin Small Letter V
0xff57	0x82f0	;Fullwidth Latin Small Letter W
0xff58	0x82f1	;Fullwidth Latin Small Letter X
0xff59	0x82f2	;Fullwidth Latin Small Letter Y
0xff5a	0x82f3	;Fullwidth Latin Small Letter Z
0xff5b	0x8158	;Fullwidth Left Curly Bracket
0xff5d	0x8159	;Fullwidth Right Curly Bracket
0xff78	0xafef	;Halfwidth Katakana Letter Ku
0xffe0	0x81e5	;Fullwidth Cent Sign
0xffe1	0x81e6	;Fullwidth Pound Sign
0xffe2	0x91e1	;Fullwidth Not Sign
0xffe3	0x81a3	;Fullwidth Macron
0xffe4	0x91e2	;Fullwidth Broken Bar
0xffe5	0x81e3	;Fullwidth Yen Sign

ENDCODEPAGE

=== C:/Users/treeman/Desktop/windows nt source code\Source\Win2K3\NT\base\win32\winnls\data\codepage\ebcdic\870.txt ===
CODEPAGE 870            ;IBM EBCDIC Latin-2 Multilingual/ROECE

CPINFO 1 0x6f 0x003f    ;Single Byte CP, Default Char = Question Mark

MBTABLE	256

0x00	0x0000	;Null
0x01	0x0001	;Start Of Heading
0x02	0x0002	;Start Of Text
0x03	0x0003	;End Of Text
0x04	0x009c	;Control
0x05	0x0009	;Horizontal Tabulation
0x06	0x0086	;Control
0x07	0x007f	;Delete
0x08	0x0097	;Control
0x09	0x008d	;Control
0x0a	0x008e	;Control
0x0b	0x000b	;Vertical Tabulation
0x0c	0x000c	;Form Feed
0x0d	0x000d	;Carriage Return
0x0e	0x000e	;Shift Out
0x0f	0x000f	;Shift In
0x10	0x0010	;Data Link Escape
0x11	0x0011	;Device Control One
0x12	0x0012	;Device Control Two
0x13	0x0013	;Device Control Three
0x14	0x009d	;Control
0x15	0x0085	;Control
0x16	0x0008	;Backspace
0x17	0x0087	;Control
0x18	0x0018	;Cancel
0x19	0x0019	;End Of Medium
0x1a	0x0092	;Control
0x1b	0x008f	;Control
0x1c	0x001c	;File Separator
0x1d	0x001d	;Group Separator
0x1e	0x001e	;Record Separator
0x1f	0x001f	;Unit Separator
0x20	0x0080	;Control
0x21	0x0081	;Control
0x22	0x0082	;Control
0x23	0x0083	;Control
0x24	0x0084	;Control
0x25	0x000a	;Line Feed
0x26	0x0017	;End Of Transmission Block
0x27	0x001b	;Escape
0x28	0x0088	;Control
0x29	0x0089	;Control
0x2a	0x008a	;Control
0x2b	0x008b	;Control
0x2c	0x008c	;Control
0x2d	0x0005	;Enquiry
0x2e	0x0006	;Acknowledge
0x2f	0x0007	;Bell
0x30	0x0090	;Control
0x31	0x0091	;Control
0x32	0x0016	;Synchronous Idle
0x33	0x0093	;Control
0x34	0x0094	;Control
0x35	0x0095	;Control
0x36	0x0096	;Control
0x37	0x0004	;End Of Transmission
0x38	0x0098	;Control
0x39	0x0099	;Control
0x3a	0x009a	;Control
0x3b	0x009b	;Control
0x3c	0x0014	;Device Control Four
0x3d	0x0015	;Negative Acknowledge
0x3e	0x009e	;Control
0x3f	0x001a	;Substitute
0x40	0x0020	;Space
0x41	0x00a0	;No-Break Space
0x42	0x00e2	;Latin Small Letter A With Circumflex
0x43	0x00e4	;Latin Small Letter A With Diaeresis
0x44	0x0163	;Latin Small Letter T With Cedilla
0x45	0x00e1	;Latin Small Letter A With Acute
0x46	0x0103	;Latin Small Letter A With Breve
0x47	0x010d	;Latin Small Letter C With Caron
0x48	0x00e7	;Latin Small Letter C With Cedilla
0x49	0x0107	;Latin Small Letter C With Acute
0x4a	0x005b	;Left Square Bracket
0x4b	0x002e	;Full Stop
0x4c	0x003c	;Less-Than Sign
0x4d	0x0028	;Left Parenthesis
0x4e	0x002b	;Plus Sign
0x4f	0x0021	;Exclamation Mark
0x50	0x0026	;Ampersand
0x51	0x00e9	;Latin Small Letter E With Acute
0x52	0x0119	;Latin Small Letter E With Ogonek
0x53	0x00eb	;Latin Small Letter E With Diaeresis
0x54	0x016f	;Latin Small Letter U With Ring Above
0x55	0x00ed	;Latin Small Letter I With Acute
0x56	0x00ee	;Latin Small Letter I With Circumflex
0x57	0x013e	;Latin Small Letter L With Caron
0x58	0x013a	;Latin Small Letter L With Acute
0x59	0x00df	;Latin Small Letter Sharp S (German)
0x5a	0x005d	;Right Square Bracket
0x5b	0x0024	;Dollar Sign
0x5c	0x002a	;Asterisk
0x5d	0x0029	;Right Parenthesis
0x5e	0x003b	;Semicolon
0x5f	0x005e	;Circumflex Accent
0x60	0x002d	;Hyphen-Minus
0x61	0x002f	;Solidus
0x62	0x00c2	;Latin Capital Letter A With Circumflex
0x63	0x00c4	;Latin Capital Letter A With Diaeresis
0x64	0x02dd	;Double Acute Accent
0x65	0x00c1	;Latin Capital Letter A With Acute
0x66	0x0102	;Latin Capital Letter A With Breve
0x67	0x010c	;Latin Capital Letter C With Caron
0x68	0x00c7	;Latin Capital Letter C With Cedilla
0x69	0x0106	;Latin Capital Letter C With Acute
0x6a	0x007c	;Vertical Line
0x6b	0x002c	;Comma
0x6c	0x0025	;Percent Sign
0x6d	0x005f	;Low Line
0x6e	0x003e	;Greater-Than Sign
0x6f	0x003f	;Question Mark
0x70	0x02c7	;Caron
0x71	0x00c9	;Latin Capital Letter E With Acute
0x72	0x0118	;Latin Capital Letter E With Ogonek
0x73	0x00cb	;Latin Capital Letter E With Diaeresis
0x74	0x016e	;Latin Capital Letter U With Ring Above
0x75	0x00cd	;Latin Capital Letter I With Acute
0x76	0x00ce	;Latin Capital Letter I With Circumflex
0x77	0x013d	;Latin Capital Letter L With Caron
0x78	0x0139	;Latin Capital Letter L With Acute
0x79	0x0060	;Grave Accent
0x7a	0x003a	;Colon
0x7b	0x0023	;Number Sign
0x7c	0x0040	;Commercial At
0x7d	0x0027	;Apostrophe
0x7e	0x003d	;Equals Sign
0x7f	0x0022	;Quotation Mark
0x80	0x02d8	;Breve
0x81	0x0061	;Latin Small Letter A
0x82	0x0062	;Latin Small Letter B
0x83	0x0063	;Latin Small Letter C
0x84	0x0064	;Latin Small Letter D
0x85	0x0065	;Latin Small Letter E
0x86	0x0066	;Latin Small Letter F
0x87	0x0067	;Latin Small Letter G
0x88	0x0068	;Latin Small Letter H
0x89	0x0069	;Latin Small Letter I
0x8a	0x015b	;Latin Small Letter S With Acute
0x8b	0x0148	;Latin Small Letter N With Caron
0x8c	0x0111	;Latin Small Letter D With Stroke
0x8d	0x00fd	;Latin Small Letter Y With Acute
0x8e	0x0159	;Latin Small Letter R With Caron
0x8f	0x015f	;Latin Small Letter S With Cedilla
0x90	0x00b0	;Degree Sign
0x91	0x006a	;Latin Small Letter J
0x92	0x006b	;Latin Small Letter K
0x93	0x006c	;Latin Small Letter L
0x94	0x006d	;Latin Small Letter M
0x95	0x006e	;Latin Small Letter N
0x96	0x006f	;Latin Small Letter O
0x97	0x0070	;Latin Small Letter P
0x98	0x0071	;Latin Small Letter Q
0x99	0x0072	;Latin Small Letter R
0x9a	0x0142	;Latin Small Letter L With Stroke
0x9b	0x0144	;Latin Small Letter N With Acute
0x9c	0x0161	;Latin Small Letter S With Caron
0x9d	0x00b8	;Cedilla
0x9e	0x02db	;Ogonek
0x9f	0x00a4	;Currency Sign
0xa0	0x0105	;Latin Small Letter A With Ogonek
0xa1	0x007e	;Tilde
0xa2	0x0073	;Latin Small Letter S
0xa3	0x0074	;Latin Small Letter T
0xa4	0x0075	;Latin Small Letter U
0xa5	0x0076	;Latin Small Letter V
0xa6	0x0077	;Latin Small Letter W
0xa7	0x0078	;Latin Small Letter X
0xa8	0x0079	;Latin Small Letter Y
0xa9	0x007a	;Latin Small Letter Z
0xaa	0x015a	;Latin Capital Letter S With Acute
0xab	0x0147	;Latin Capital Letter N With Caron
0xac	0x0110	;Latin Capital Letter D With Stroke
0xad	0x00dd	;Latin Capital Letter Y With Acute
0xae	0x0158	;Latin Capital Letter R With Caron
0xaf	0x015e	;Latin Capital Letter S With Cedilla
0xb0	0x02d9	;Dot Above
0xb1	0x0104	;Latin Capital Letter A With Ogonek
0xb2	0x017c	;Latin Small Letter Z With Dot Above
0xb3	0x0162	;Latin Capital Letter T With Cedilla
0xb4	0x017b	;Latin Capital Letter Z With Dot Above
0xb5	0x00a7	;Section Sign
0xb6	0x017e	;Latin Small Letter Z With Caron
0xb7	0x017a	;Latin Small Letter Z With Acute
0xb8	0x017d	;Latin Capital Letter Z With Caron
0xb9	0x0179	;Latin Capital Letter Z With Acute
0xba	0x0141	;Latin Capital Letter L With Stroke
0xbb	0x0143	;Latin Capital Letter N With Acute
0xbc	0x0160	;Latin Capital Letter S With Caron
0xbd	0x00a8	;Diaeresis
0xbe	0x00b4	;Acute Accent
0xbf	0x00d7	;Multiplication Sign
0xc0	0x007b	;Left Curly Bracket
0xc1	0x0041	;Latin Capital Letter A
0xc2	0x0042	;Latin Capital Letter B
0xc3	0x0043	;Latin Capital Letter C
0xc4	0x0044	;Latin Capital Letter D
0xc5	0x0045	;Latin Capital Letter E
0xc6	0x0046	;Latin Capital Letter F
0xc7	0x0047	;Latin Capital Letter G
0xc8	0x0048	;Latin Capital Letter H
0xc9	0x0049	;Latin Capital Letter I
0xca	0x00ad	;Soft Hyphen
0xcb	0x00f4	;Latin Small Letter O With Circumflex
0xcc	0x00f6	;Latin Small Letter O With Diaeresis
0xcd	0x0155	;Latin Small Letter R With Acute
0xce	0x00f3	;Latin Small Letter O With Acute
0xcf	0x0151	;Latin Small Letter O With Double Acute
0xd0	0x007d	;Right Curly Bracket
0xd1	0x004a	;Latin Capital Letter J
0xd2	0x004b	;Latin Capital Letter K
0xd3	0x004c	;Latin Capital Letter L
0xd4	0x004d	;Latin Capital Letter M
0xd5	0x004e	;Latin Capital Letter N
0xd6	0x004f	;Latin Capital Letter O
0xd7	0x0050	;Latin Capital Letter P
0xd8	0x0051	;Latin Capital Letter Q
0xd9	0x0052	;Latin Capital Letter R
0xda	0x011a	;Latin Capital Letter E With Caron
0xdb	0x0171	;Latin Small Letter U With Double Acute
0xdc	0x00fc	;Latin Small Letter U With Diaeresis
0xdd	0x0165	;Latin Small Letter T With Caron
0xde	0x00fa	;Latin Small Letter U With Acute
0xdf	0x011b	;Latin Small Letter E With Caron
0xe0	0x005c	;Reverse Solidus
0xe1	0x00f7	;Division Sign
0xe2	0x0053	;Latin Capital Letter S
0xe3	0x0054	;Latin Capital Letter T
0xe4	0x0055	;Latin Capital Letter U
0xe5	0x0056	;Latin Capital Letter V
0xe6	0x0057	;Latin Capital Letter W
0xe7	0x0058	;Latin Capital Letter X
0xe8	0x0059	;Latin Capital Letter Y
0xe9	0x005a	;Latin Capital Letter Z
0xea	0x010f	;Latin Small Letter D With Caron
0xeb	0x00d4	;Latin Capital Letter O With Circumflex
0xec	0x00d6	;Latin Capital Letter O With Diaeresis
0xed	0x0154	;Latin Capital Letter R With Acute
0xee	0x00d3	;Latin Capital Letter O With Acute
0xef	0x0150	;Latin Capital Letter O With Double Acute
0xf0	0x0030	;Digit Zero
0xf1	0x0031	;Digit One
0xf2	0x0032	;Digit Two
0xf3	0x0033	;Digit Three
0xf4	0x0034	;Digit Four
0xf5	0x0035	;Digit Five
0xf6	0x0036	;Digit Six
0xf7	0x0037	;Digit Seven
0xf8	0x0038	;Digit Eight
0xf9	0x0039	;Digit Nine
0xfa	0x010e	;Latin Capital Letter D With Caron
0xfb	0x0170	;Latin Capital Letter U With Double Acute
0xfc	0x00dc	;Latin Capital Letter U With Diaeresis
0xfd	0x0164	;Latin Capital Letter T With Caron
0xfe	0x00da	;Latin Capital Letter U With Acute
0xff	0x009f	;Control


WCTABLE 351

0x0000	0x00	;Null
0x0001	0x01	;Start Of Heading
0x0002	0x02	;Start Of Text
0x0003	0x03	;End Of Text
0x0004	0x37	;End Of Transmission
0x0005	0x2d	;Enquiry
0x0006	0x2e	;Acknowledge
0x0007	0x2f	;Bell
0x0008	0x16	;Backspace
0x0009	0x05	;Horizontal Tabulation
0x000a	0x25	;Line Feed
0x000b	0x0b	;Vertical Tabulation
0x000c	0x0c	;Form Feed
0x000d	0x0d	;Carriage Return
0x000e	0x0e	;Shift Out
0x000f	0x0f	;Shift In
0x0010	0x10	;Data Link Escape
0x0011	0x11	;Device Control One
0x0012	0x12	;Device Control Two
0x0013	0x13	;Device Control Three
0x0014	0x3c	;Device Control Four
0x0015	0x3d	;Negative Acknowledge
0x0016	0x32	;Synchronous Idle
0x0017	0x26	;End Of Transmission Block
0x0018	0x18	;Cancel
0x0019	0x19	;End Of Medium
0x001a	0x3f	;Substitute
0x001b	0x27	;Escape
0x001c	0x1c	;File Separator
0x001d	0x1d	;Group Separator
0x001e	0x1e	;Record Separator
0x001f	0x1f	;Unit Separator
0x0020	0x40	;Space
0x0021	0x4f	;Exclamation Mark
0x0022	0x7f	;Quotation Mark
0x0023	0x7b	;Number Sign
0x0024	0x5b	;Dollar Sign
0x0025	0x6c	;Percent Sign
0x0026	0x50	;Ampersand
0x0027	0x7d	;Apostrophe
0x0028	0x4d	;Left Parenthesis
0x0029	0x5d	;Right Parenthesis
0x002a	0x5c	;Asterisk
0x002b	0x4e	;Plus Sign
0x002c	0x6b	;Comma
0x002d	0x60	;Hyphen-Minus
0x002e	0x4b	;Full Stop
0x002f	0x61	;Solidus
0x0030	0xf0	;Digit Zero
0x0031	0xf1	;Digit One
0x0032	0xf2	;Digit Two
0x0033	0xf3	;Digit Three
0x0034	0xf4	;Digit Four
0x0035	0xf5	;Digit Five
0x0036	0xf6	;Digit Six
0x0037	0xf7	;Digit Seven
0x0038	0xf8	;Digit Eight
0x0039	0xf9	;Digit Nine
0x003a	0x7a	;Colon
0x003b	0x5e	;Semicolon
0x003c	0x4c	;Less-Than Sign
0x003d	0x7e	;Equals Sign
0x003e	0x6e	;Greater-Than Sign
0x003f	0x6f	;Question Mark
0x0040	0x7c	;Commercial At
0x0041	0xc1	;Latin Capital Letter A
0x0042	0xc2	;Latin Capital Letter B
0x0043	0xc3	;Latin Capital Letter C
0x0044	0xc4	;Latin Capital Letter D
0x0045	0xc5	;Latin Capital Letter E
0x0046	0xc6	;Latin Capital Letter F
0x0047	0xc7	;Latin Capital Letter G
0x0048	0xc8	;Latin Capital Letter H
0x0049	0xc9	;Latin Capital Letter I
0x004a	0xd1	;Latin Capital Letter J
0x004b	0xd2	;Latin Capital Letter K
