xb6af	;
0x9a0e	0xc34d	;M
0x9a0f	0xf1af	;
0x9a11	0xf1b4	;
0x9a14	0xf3c0	;
0x9a15	0xf3b5	;
0x9a16	0xc445	;E
0x9a19	0xc446	;F
0x9a1a	0xf3b4	;
0x9a1b	0xf3b9	;
0x9a1c	0xf3bf	;
0x9a1d	0xf3b7	;
0x9a1e	0xf3be	;
0x9a20	0xf3bb	;
0x9a22	0xf3ba	;
0x9a23	0xf3bd	;
0x9a24	0xf3b8	;
0x9a25	0xf3b6	;
0x9a27	0xf3bc	;
0x9a29	0xf560	;`
0x9a2a	0xf55e	;^
0x9a2b	0xc4ca	;
0x9a2c	0xf55d	;]
0x9a2d	0xf563	;c
0x9a2e	0xf561	;a
0x9a30	0xc4cb	;
0x9a31	0xf55c	;\
0x9a32	0xf55a	;Z
0x9a34	0xf55b	;[
0x9a35	0xc4cd	;
0x9a36	0xf55f	;_
0x9a37	0xc4cc	;
0x9a38	0xf562	;b
0x9a39	0xf678	;x
0x9a3a	0xf67e	;~
0x9a3d	0xf679	;y
0x9a3e	0xc55b	;[
0x9a3f	0xf6a1	;
0x9a40	0xc55a	;Z
0x9a41	0xf67d	;}
0x9a42	0xf67c	;|
0x9a43	0xc559	;Y
0x9a44	0xf67b	;{
0x9a45	0xc558	;X
0x9a46	0xf67a	;z
0x9a48	0xf77d	;}
0x9a49	0xf7a1	;
0x9a4a	0xf77e	;~
0x9a4c	0xf77b	;{
0x9a4d	0xc5bb	;Ż
0x9a4e	0xf778	;x
0x9a4f	0xf77c	;|
0x9a50	0xf7a3	;
0x9a52	0xf7a2	;
0x9a53	0xf779	;y
0x9a54	0xf77a	;z
0x9a55	0xc5ba	;ź
0x9a56	0xf852	;R
0x9a57	0xc5e7	;
0x9a59	0xf853	;S
0x9a5a	0xc5e5	;
0x9a5b	0xc5e6	;
0x9a5e	0xf8d3	;
0x9a5f	0xc64a	;J
0x9a60	0xf976	;v
0x9a62	0xc66a	;j
0x9a64	0xf9b3	;
0x9a65	0xc66b	;k
0x9a66	0xf9b4	;
0x9a67	0xf9b5	;
0x9a68	0xf9c3	;
0x9a69	0xf9c2	;
0x9a6a	0xc67a	;z
0x9a6b	0xf9cd	;
0x9aa8	0xb0a9	;
0x9aab	0xe0e9	;
0x9aad	0xe0e8	;
0x9aaf	0xbbea	;
0x9ab0	0xbbeb	;
0x9ab1	0xe4da	;
0x9ab3	0xe8d2	;
0x9ab4	0xec6c	;l
0x9ab7	0xbe75	;u
0x9ab8	0xc065	;e
0x9ab9	0xec6a	;j
0x9abb	0xec6d	;m
0x9abc	0xc066	;f
0x9abe	0xef64	;d
0x9abf	0xec6b	;k
0x9ac0	0xf1b9	;
0x9ac1	0xc34e	;N
0x9ac2	0xf3c1	;
0x9ac6	0xf566	;f
0x9ac7	0xf564	;d
0x9aca	0xf565	;e
0x9acd	0xf6a2	;
0x9acf	0xc55c	;\
0x9ad0	0xf7a4	;
0x9ad1	0xc5ea	;
0x9ad2	0xc5bc	;ż
0x9ad3	0xc5e8	;
0x9ad4	0xc5e9	;
0x9ad5	0xf8d4	;
0x9ad6	0xc662	;b
0x9ad8	0xb0aa	;
0x9adc	0xf1ba	;
0x9adf	0xd449	;I
0x9ae1	0xb9a6	;
0x9ae3	0xe4db	;
0x9ae6	0xbbec	;
0x9ae7	0xe4dc	;
0x9aeb	0xe8d4	;
0x9aec	0xe8d3	;
0x9aed	0xc068	;h
0x9aee	0xbe76	;v
0x9aef	0xbe77	;w
0x9af1	0xe8d7	;
0x9af2	0xe8d6	;
0x9af3	0xe8d5	;
0x9af6	0xec6e	;n
0x9af7	0xec71	;q
0x9af9	0xec70	;p
0x9afa	0xec6f	;o
0x9afb	0xc067	;g
0x9afc	0xef68	;h
0x9afd	0xef66	;f
0x9afe	0xef65	;e
0x9b01	0xef67	;g
0x9b03	0xc34f	;O
0x9b04	0xf1bc	;
0x9b05	0xf1bd	;
0x9b06	0xc350	;P
0x9b08	0xf1bb	;
0x9b0a	0xf3c3	;
0x9b0b	0xf3c2	;
0x9b0c	0xf3c5	;
0x9b0d	0xc447	;G
0x9b0e	0xf3c4	;
0x9b10	0xf567	;g
0x9b11	0xf569	;i
0x9b12	0xf568	;h
0x9b15	0xf6a3	;
0x9b16	0xf6a6	;
0x9b17	0xf6a4	;
0x9b18	0xf6a5	;
0x9b19	0xf7a5	;
0x9b1a	0xc5bd	;Ž
0x9b1e	0xf854	;T
0x9b1f	0xf855	;U
0x9b20	0xf856	;V
0x9b22	0xc64b	;K
0x9b23	0xc663	;c
0x9b24	0xf9b6	;
0x9b25	0xb0ab	;
0x9b27	0xbe78	;x
0x9b28	0xc069	;i
0x9b29	0xf1be	;
0x9b2b	0xf7a6	;
0x9b2e	0xf9c4	;
0x9b2f	0xd44a	;J
0x9b31	0xc67b	;{
0x9b32	0xb0ac	;
0x9b33	0xec72	;r
0x9b35	0xf1bf	;
0x9b37	0xf3c6	;
0x9b3a	0xf6a7	;
0x9b3b	0xf7a7	;
0x9b3c	0xb0ad	;
0x9b3e	0xe4dd	;
0x9b3f	0xe4de	;
0x9b41	0xbbed	;
0x9b42	0xbbee	;
0x9b43	0xe8d9	;
0x9b44	0xbe7a	;z
0x9b45	0xbe79	;y
0x9b46	0xe8d8	;
0x9b48	0xef69	;i
0x9b4a	0xf1c0	;
0x9b4b	0xf1c2	;
0x9b4c	0xf1c1	;
0x9b4d	0xc353	;S
0x9b4e	0xc352	;R
0x9b4f	0xc351	;Q
0x9b51	0xc55e	;^
0x9b52	0xf6a8	;
0x9b54	0xc55d	;]
0x9b55	0xf7a9	;
0x9b56	0xf7a8	;
0x9b58	0xc64c	;L
0x9b59	0xf8d5	;
0x9b5a	0xb3bd	;
0x9b5b	0xe0ea	;
0x9b5f	0xe4e1	;
0x9b60	0xe4df	;
0x9b61	0xe4e0	;
0x9b64	0xe8e2	;
0x9b66	0xe8dd	;
0x9b67	0xe8da	;
0x9b68	0xe8e1	;
0x9b6c	0xe8e3	;
0x9b6f	0xbe7c	;|
0x9b70	0xe8e0	;
0x9b71	0xe8dc	;
0x9b74	0xe8db	;
0x9b75	0xe8df	;
0x9b76	0xe8de	;
0x9b77	0xbe7b	;{
0x9b7a	0xec7d	;}
0x9b7b	0xec78	;x
0x9b7c	0xec76	;v
0x9b7d	0xeca1	;
0x9b7e	0xec77	;w
0x9b80	0xec73	;s
0x9b82	0xec79	;y
0x9b85	0xec74	;t
0x9b86	0xef72	;r
0x9b87	0xec75	;u
0x9b88	0xeca2	;
0x9b90	0xec7c	;|
0x9b91	0xc06a	;j
0x9b92	0xec7b	;{
0x9b93	0xec7a	;z
0x9b95	0xec7e	;~
0x9b9a	0xef6a	;j
0x9b9b	0xef6d	;m
0x9b9e	0xef6c	;l
0x9ba0	0xef74	;t
0x9ba1	0xef6f	;o
0x9ba2	0xef73	;s
0x9ba4	0xef71	;q
0x9ba5	0xef70	;p
0x9ba6	0xef6e	;n
0x9ba8	0xef6b	;k
0x9baa	0xc243	;C
0x9bab	0xc242	;B
0x9bad	0xc244	;D
0x9bae	0xc241	;A
0x9baf	0xef75	;u
0x9bb5	0xf1c8	;
0x9bb6	0xf1cb	;
0x9bb8	0xf1c9	;
0x9bb9	0xf1cd	;
0x9bbd	0xf1ce	;
0x9bbf	0xf1c6	;
0x9bc0	0xc358	;X
0x9bc1	0xf1c7	;
0x9bc3	0xf1c5	;
0x9bc4	0xf1cc	;
0x9bc6	0xf1c4	;
0x9bc7	0xf1c3	;
0x9bc8	0xc357	;W
0x9bc9	0xc355	;U
0x9bca	0xc354	;T
0x9bd3	0xf1ca	;
0x9bd4	0xf3cf	;
0x9bd5	0xf3d5	;
0x9bd6	0xc44a	;J
0x9bd7	0xf3d0	;
0x9bd9	0xf3d3	;
0x9bda	0xf3d7	;
0x9bdb	0xc44b	;K
0x9bdc	0xf3d2	;
0x9bde	0xf3ca	;
0x9be0	0xf3c9	;
0x9be1	0xf3d6	;
0x9be2	0xf3cd	;
0x9be4	0xf3cb	;
0x9be5	0xf3d4	;
0x9be6	0xf3cc	;
0x9be7	0xc449	;I
0x9be8	0xc448	;H
0x9bea	0xf3c7	;
0x9beb	0xf3c8	;
0x9bec	0xf3d1	;
0x9bf0	0xf3ce	;
0x9bf7	0xf56c	;l
0x9bf8	0xf56f	;o
0x9bfd	0xc356	;V
0x9c05	0xf56d	;m
0x9c06	0xf573	;s
0x9c07	0xf571	;q
0x9c08	0xf56b	;k
0x9c09	0xf576	;v
0x9c0b	0xf56a	;j
0x9c0d	0xc4cf	;
0x9c0e	0xf572	;r
0x9c12	0xf56e	;n
0x9c13	0xc4ce	;
0x9c14	0xf575	;u
0x9c17	0xf574	;t
0x9c1c	0xf6ab	;
0x9c1d	0xf6aa	;
0x9c21	0xf6b1	;
0x9c23	0xf6ad	;
0x9c24	0xf6b0	;
0x9c25	0xc560	;`
0x9c28	0xf6ae	;
0x9c29	0xf6af	;
0x9c2b	0xf6a9	;
0x9c2c	0xf6ac	;
0x9c2d	0xc55f	;_
0x9c31	0xc5bf	;ſ
0x9c32	0xf7b4	;
0x9c33	0xf7af	;
0x9c34	0xf7b3	;
0x9c36	0xf7b6	;
0x9c37	0xf7b2	;
0x9c39	0xf7ae	;
0x9c3b	0xc5c1	;
0x9c3c	0xf7b1	;
0x9c3d	0xf7b5	;
0x9c3e	0xc5c0	;
0x9c3f	0xf7ac	;
0x9c40	0xf570	;p
0x9c41	0xf7b0	;
0x9c44	0xf7ad	;
0x9c46	0xf7aa	;
0x9c48	0xf7ab	;
0x9c49	0xc5be	;ž
0x9c4a	0xf85a	;Z
0x9c4b	0xf85c	;\
0x9c4c	0xf85f	;_
0x9c4d	0xf85b	;[
0x9c4e	0xf860	;`
0x9c50	0xf859	;Y
0x9c52	0xf857	;W
0x9c54	0xc5eb	;
0x9c55	0xf85d	;]
0x9c56	0xc5ed	;
0x9c57	0xc5ec	;
0x9c58	0xf858	;X
0x9c59	0xf85e	;^
0x9c5e	0xf8da	;
0x9c5f	0xc64d	;M
0x9c60	0xf8db	;
0x9c62	0xf8d9	;
0x9c63	0xf8d6	;
0x9c66	0xf8d8	;
0x9c67	0xf8d7	;
0x9c68	0xf95a	;Z
0x9c6d	0xf95c	;\
0x9c6e	0xf95b	;[
0x9c71	0xf979	;y
0x9c73	0xf978	;x
0x9c74	0xf977	;w
0x9c75	0xf97a	;z
0x9c77	0xc673	;s
0x9c78	0xc674	;t
0x9c79	0xf9ca	;
0x9c7a	0xf9ce	;
0x9ce5	0xb3be	;
0x9ce6	0xdcaf	;ܯ
0x9ce7	0xe0ed	;
0x9ce9	0xb9a7	;
0x9cea	0xe0eb	;
0x9ced	0xe0ec	;
0x9cf1	0xe4e2	;
0x9cf2	0xe4e3	;
0x9cf3	0xbbf1	;
0x9cf4	0xbbef	;
0x9cf5	0xe4e4	;
0x9cf6	0xbbf0	;
0x9cf7	0xe8e8	;
0x9cf9	0xe8eb	;
0x9cfa	0xe8e5	;
0x9cfb	0xe8ec	;
0x9cfc	0xe8e4	;
0x9cfd	0xe8e6	;
0x9cff	0xe8e7	;
0x9d00	0xe8ea	;
0x9d03	0xbea1	;
0x9d04	0xe8ef	;
0x9d05	0xe8ee	;
0x9d06	0xbe7d	;}
0x9d07	0xe8e9	;
0x9d08	0xe8ed	;
0x9d09	0xbe7e	;~
0x9d10	0xecac	;
0x9d12	0xc06f	;o
0x9d14	0xeca7	;
0x9d15	0xc06b	;k
0x9d17	0xeca4	;
0x9d18	0xecaa	;
0x9d19	0xecad	;
0x9d1b	0xc070	;p
0x9d1d	0xeca9	;
0x9d1e	0xeca6	;
0x9d1f	0xecae	;
0x9d20	0xeca5	;
0x9d22	0xecab	;
0x9d23	0xc06c	;l
0x9d25	0xeca3	;
0x9d26	0xc06d	;m
0x9d28	0xc06e	;n
0x9d29	0xeca8	;
0x9d2d	0xefa9	;
0x9d2e	0xef7a	;z
0x9d2f	0xef7b	;{
0x9d30	0xef7e	;~
0x9d31	0xef7c	;|
0x9d33	0xef76	;v
0x9d36	0xef79	;y
0x9d37	0xefa5	;
0x9d38	0xef7d	;}
0x9d3b	0xc245	;E
0x9d3d	0xefa7	;
0x9d3e	0xefa4	;
0x9d3f	0xc246	;F
0x9d40	0xefa6	;
0x9d41	0xef77	;w
0x9d42	0xefa2	;
0x9d43	0xefa3	;
0x9d45	0xefa1	;
0x9d4a	0xf1d2	;
0x9d4b	0xf1d4	;
0x9d4c	0xf1d7	;
0x9d4f	0xf1d1	;
0x9d51	0xc359	;Y
0x9d52	0xf1d9	;
0x9d53	0xf1d0	;
0x9d54	0xf1da	;
0x9d56	0xf1d6	;
0x9d57	0xf1d8	;
0x9d58	0xf1dc	;
0x9d59	0xf1d5	;
0x9d5a	0xf1dd	;
0x9d5b	0xf1d3	;
0x9d5c	0xf1cf	;
0x9d5d	0xc35a	;Z
0x9d5f	0xf1db	;
0x9d60	0xc35b	;[
0x9d61	0xc44d	;M
0x9d67	0xef78	;x
0x9d68	0xf3f1	;
0x9d69	0xf3e8	;
0x9d6a	0xc44f	;O
0x9d6b	0xf3e4	;
0x9d6c	0xc450	;P
0x9d6f	0xf3ed	;
0x9d70	0xf3e7	;
0x9d71	0xf3dd	;
0x9d72	0xc44e	;N
0x9d73	0xf3ea	;
0x9d74	0xf3e5	;
0x9d75	0xf3e6	;
0x9d77	0xf3d8	;
0x9d78	0xf3df	;
0x9d79	0xf3ee	;
0x9d7b	0xf3eb	;
0x9d7d	0xf3e3	;
0x9d7f	0xf3ef	;
0x9d80	0xf3de	;
0x9d81	0xf3d9	;
0x9d82	0xf3ec	;
0x9d84	0xf3db	;
0x9d85	0xf3e9	;
0x9d86	0xf3e0	;
0x9d87	0xf3f0	;
0x9d88	0xf3dc	;
0x9d89	0xc44c	;L
0x9d8a	0xf3da	;
0x9d8b	0xf3e1	;
0x9d8c	0xf3e2	;
0x9d90	0xf57d	;}
0x9d92	0xf57b	;{
0x9d94	0xf5a2	;
0x9d96	0xf5ae	;
0x9d97	0xf5a5	;
0x9d98	0xf57c	;|
